 format: day,hour,forecast,value  location:53_114 Start : 20210101 
 1,0200,+4,360.000000 
 1,0200,+7,7.000000 
 1,0200,+10,29.000000 
 1,0200,+13,29.000000 
 1,0200,+16,29.000000 
 1,0200,+19,37.000000 
 1,0200,+22,27.000000 
 1,0200,+25,335.000000 
 1,0200,+28,321.000000 
 1,0200,+31,313.000000 
 1,0200,+34,327.000000 
 1,0200,+37,337.000000 
 1,0200,+40,348.000000 
 1,0200,+43,4.000000 
 1,0200,+46,3.000000 
 1,0200,+49,347.000000 
 1,0200,+52,340.000000 
 1,0200,+55,358.000000 
 1,0200,+58,50.000000 
 1,0200,+61,86.000000 
 1,0500,+4,7.000000 
 1,0500,+7,29.000000 
 1,0500,+10,29.000000 
 1,0500,+13,29.000000 
 1,0500,+16,37.000000 
 1,0500,+19,27.000000 
 1,0500,+22,335.000000 
 1,0500,+25,321.000000 
 1,0500,+28,313.000000 
 1,0500,+31,327.000000 
 1,0500,+34,337.000000 
 1,0500,+37,348.000000 
 1,0500,+40,4.000000 
 1,0500,+43,3.000000 
 1,0500,+46,347.000000 
 1,0500,+49,340.000000 
 1,0500,+52,358.000000 
 1,0500,+55,50.000000 
 1,0500,+58,86.000000 
 1,0800,+4,19.000000 
 1,0800,+7,31.000000 
 1,0800,+10,34.000000 
 1,0800,+13,42.000000 
 1,0800,+16,27.000000 
 1,0800,+19,340.000000 
 1,0800,+22,324.000000 
 1,0800,+25,304.000000 
 1,0800,+28,321.000000 
 1,0800,+31,341.000000 
 1,0800,+34,341.000000 
 1,0800,+37,352.000000 
 1,0800,+40,349.000000 
 1,0800,+43,344.000000 
 1,0800,+46,342.000000 
 1,0800,+49,358.000000 
 1,0800,+52,45.000000 
 1,0800,+55,90.000000 
 1,1100,+4,31.000000 
 1,1100,+7,34.000000 
 1,1100,+10,42.000000 
 1,1100,+13,27.000000 
 1,1100,+16,340.000000 
 1,1100,+19,324.000000 
 1,1100,+22,304.000000 
 1,1100,+25,321.000000 
 1,1100,+28,341.000000 
 1,1100,+31,341.000000 
 1,1100,+34,352.000000 
 1,1100,+37,349.000000 
 1,1100,+40,344.000000 
 1,1100,+43,342.000000 
 1,1100,+46,358.000000 
 1,1100,+49,45.000000 
 1,1100,+52,90.000000 
 1,1400,+4,34.000000 
 1,1400,+7,42.000000 
 1,1400,+10,27.000000 
 1,1400,+13,340.000000 
 1,1400,+16,324.000000 
 1,1400,+19,304.000000 
 1,1400,+22,321.000000 
 1,1400,+25,341.000000 
 1,1400,+28,341.000000 
 1,1400,+31,352.000000 
 1,1400,+34,349.000000 
 1,1400,+37,344.000000 
 1,1400,+40,342.000000 
 1,1400,+43,358.000000 
 1,1400,+46,45.000000 
 1,1400,+49,90.000000 
 1,1700,+4,42.000000 
 1,1700,+7,27.000000 
 1,1700,+10,340.000000 
 1,1700,+13,324.000000 
 1,1700,+16,304.000000 
 1,1700,+19,321.000000 
 1,1700,+22,341.000000 
 1,1700,+25,341.000000 
 1,1700,+28,352.000000 
 1,1700,+31,349.000000 
 1,1700,+34,344.000000 
 1,1700,+37,342.000000 
 1,1700,+40,358.000000 
 1,1700,+43,45.000000 
 1,1700,+46,90.000000 
 1,2000,+4,7.000000 
 1,2000,+7,334.000000 
 1,2000,+10,324.000000 
 1,2000,+13,317.000000 
 1,2000,+16,318.000000 
 1,2000,+19,337.000000 
 1,2000,+22,344.000000 
 1,2000,+25,4.000000 
 1,2000,+28,7.000000 
 1,2000,+31,347.000000 
 1,2000,+34,337.000000 
 1,2000,+37,342.000000 
 1,2000,+40,38.000000 
 1,2000,+43,108.000000 
 1,2000,+46,103.000000 
 1,2000,+49,99.000000 
 1,2000,+52,92.000000 
 1,2000,+55,111.000000 
 1,2000,+58,72.000000 
 1,2000,+61,69.000000 
 1,2000,+64,22.000000 
 1,2000,+67,24.000000 
 1,2300,+4,334.000000 
 1,2300,+7,324.000000 
 1,2300,+10,317.000000 
 1,2300,+13,318.000000 
 1,2300,+16,337.000000 
 1,2300,+19,344.000000 
 1,2300,+22,4.000000 
 1,2300,+25,7.000000 
 1,2300,+28,347.000000 
 1,2300,+31,337.000000 
 1,2300,+34,342.000000 
 1,2300,+37,38.000000 
 1,2300,+40,108.000000 
 1,2300,+43,103.000000 
 1,2300,+46,99.000000 
 1,2300,+49,92.000000 
 1,2300,+52,111.000000 
 1,2300,+55,72.000000 
 1,2300,+58,69.000000 
 1,2300,+61,22.000000 
 1,2300,+64,24.000000 
 2,0200,+4,324.000000 
 2,0200,+7,317.000000 
 2,0200,+10,318.000000 
 2,0200,+13,337.000000 
 2,0200,+16,344.000000 
 2,0200,+19,4.000000 
 2,0200,+22,7.000000 
 2,0200,+25,347.000000 
 2,0200,+28,337.000000 
 2,0200,+31,342.000000 
 2,0200,+34,38.000000 
 2,0200,+37,108.000000 
 2,0200,+40,103.000000 
 2,0200,+43,99.000000 
 2,0200,+46,92.000000 
 2,0200,+49,111.000000 
 2,0200,+52,72.000000 
 2,0200,+55,69.000000 
 2,0200,+58,22.000000 
 2,0200,+61,24.000000 
 2,0500,+4,317.000000 
 2,0500,+7,318.000000 
 2,0500,+10,337.000000 
 2,0500,+13,344.000000 
 2,0500,+16,4.000000 
 2,0500,+19,7.000000 
 2,0500,+22,347.000000 
 2,0500,+25,337.000000 
 2,0500,+28,342.000000 
 2,0500,+31,38.000000 
 2,0500,+34,108.000000 
 2,0500,+37,103.000000 
